mining polygon blocks 91227421..91227520
.....
scanned 100 blocks / 9157 txs -> 1255 sender-credited transfers

67 distinct (contract, selector) pairs that paid their caller:

  0x07ff4e06865de4934409aa6ecea503b08cc1c78d 0x5638f1f3 x240 keepers=222 max=170432194271 gas=105645 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x1964ca90474b11ffd08af387b110ba6c96251bfc 0x1e83409a x204 keepers=204 max=3848684052286 gas=82179 tok=0x99a57e6c8558bc6689f894e068733adf83c19725
  0x8ca97f41d2c81af050656e8ad0cf543820a24504 0xd286f3cf x126 keepers=105 max=238491773011 gas=185845 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x25a4b842cb200e9148ff5a11babf80488c8d8b07 0xd286f3cf x 76 keepers=26 max=83760744730 gas=185621 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x25a4b842cb200e9148ff5a11babf80488c8d8b07 0xd9f0f7f5 x 74 keepers=22 max=38056206846 gas=203560 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0xca11bde05977b3631167028862be2a173976ca11 0x82ad56cb x 57 keepers=38 max=61278557349260220 gas=389973 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01,0x1bdf71ede1a4777db1eebe7232bcda20d6fc1610
  0x6652d0f0d7aec5070804e55b7023d32b9bbc4190 0xd286f3cf x 55 keepers=50 max=105449595124 gas=285329 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x0f44b9d3d7edf2d0cb20d0855a43a9f7ed9f2cd0 0x4458a14c x 48 keepers=45 max=1000000000 gas=217432 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0xc2132d05d31c914a87c6611c10748aeb04b58e8f 0x23b872dd x 40 keepers=1 max=18687526 gas=76605 tok=0xc2132d05d31c914a87c6611c10748aeb04b58e8f
  0xc92e9e2d811d24caca79b6f782d0a78727f682f6 0xd9f0f7f5 x 33 keepers=32 max=1000000000 gas=198787 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0x80ed28d84792d8b153bf2f25f0c4b7a1381de4ab 0x48d9f01e x 29 keepers=3 max=42956058236000000 gas=158976 tok=0x1379e8886a944d2d9d440b3d88df536aea08d9f3
  0x6c0ac888b075c6b5141cbc1da6170b6686afd07d 0x4458a14c x 28 keepers=17 max=37590126359 gas=226249 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x4d97dcd97ec945f40cf65f87097ace5ea0476045 0x01b7037c x 28 keepers=15 max=1516981138 gas=134946 tok=0x2791bca1f2de4661ed88a30c99a7a9449aa84174
  0x8ca97f41d2c81af050656e8ad0cf543820a24504 0xd9f0f7f5 x 21 keepers=19 max=67873489481 gas=219981 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0xe3a736f5146b14fa3e7412ce00630f08524a741d 0xd9f0f7f5 x 18 keepers=18 max=1000000000 gas=216294 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0xef2e5f9d7ffee606dd26c9be6ca1bec22c498fad 0xd9f0f7f5 x 17 keepers=14 max=1000000000 gas=198787 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0xada100db00ca00073811820692005400218fce1f 0x01b7037c x 11 keepers=9 max=183606556 gas=261859 tok=0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb
  0x6652d0f0d7aec5070804e55b7023d32b9bbc4190 0xd9f0f7f5 x 10 keepers=10 max=79055364575 gas=341363 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x3c499c542cef5e3811e1192ce70d8cc03d5c3359 0x23b872dd x 10 keepers=1 max=509490000 gas=64984 tok=0x3c499c542cef5e3811e1192ce70d8cc03d5c3359
  0x23e2b07d85a8dbc307742c72aadbbdde4e5e2efb 0xd286f3cf x  9 keepers=7 max=3699829942 gas=172473 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x9b081323d11a2a61f43701a4007a4a98357c57a1 0x4458a14c x  8 keepers=7 max=8827332140 gas=226246 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x48a53a962bb54f315bf7874167693f53b754bfc5 0x4458a14c x  8 keepers=8 max=1000000000 gas=194979 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0x23e2b07d85a8dbc307742c72aadbbdde4e5e2efb 0xd9f0f7f5 x  7 keepers=5 max=17939196469 gas=189381 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x2e0754a481c675e1d9bfa85c14e166bb0d705785 0x8488d89b x  7 keepers=7 max=296000000000000000000 gas=94201 tok=0xab787774bdf01fc22410165ffabf76e0e0ebc94f
  0x43208f448de982a2d8a2df8f8e78574b98f2aa74 0x5638f1f3 x  7 keepers=7 max=9200044851 gas=97894 tok=0x6a92b1e99de09f71cd96bc91f934826d96b8b26e
  0x4d97dcd97ec945f40cf65f87097ace5ea0476045 0x9e7212ad x  7 keepers=6 max=516166000 gas=117317 tok=0x2791bca1f2de4661ed88a30c99a7a9449aa84174
  0xda13c7553a654601667adf9a1a16248bab584f13 0xd286f3cf x  6 keepers=5 max=6157819890 gas=172473 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x48ba3bf59638edb1d4aef47b9922e90830b9f17b 0xad062f4d x  6 keepers=6 max=380000000000000000000 gas=92674 tok=0xab787774bdf01fc22410165ffabf76e0e0ebc94f
  0xda13c7553a654601667adf9a1a16248bab584f13 0xd9f0f7f5 x  5 keepers=3 max=11208697132 gas=188152 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0x2e0754a481c675e1d9bfa85c14e166bb0d705785 0x9788548c x  4 keepers=4 max=116000000000000000000 gas=94013 tok=0xab787774bdf01fc22410165ffabf76e0e0ebc94f
  0xeab9d2507f4439006c316c9f2fda56b176f97268 0x2e1a7d4d x  3 keepers=3 max=7546000000000000000 gas=110453 tok=0x2c72d25530191ebd244eb6325e1892480b0e6e28
  0x48ba3bf59638edb1d4aef47b9922e90830b9f17b 0x9788548c x  3 keepers=3 max=1291500000000000000000 gas=92524 tok=0xab787774bdf01fc22410165ffabf76e0e0ebc94f
  0xada100874d00e3331d00f2007a9c336a65009718 0x9e7212ad x  3 keepers=1 max=5000000 gas=241798 tok=0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb
  0x45935fddfc812e8bc3a418ad073890fbb2cbbf90 0x6028eb2f x  3 keepers=3 max=19576392 gas=257280 tok=0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01
  0xd1e26c9fb1530b036f2c5d70d791e34ed8bf5880 0x1d65e743 x  3 keepers=3 max=2237000000000000000 gas=254007 tok=0x11c0e93455bedbe8c4d46a39040d6434e19f749b
